key,value,date
Work It Missy "Misdemeanor" Elliott,0,04/11/15
Work It Missy "Misdemeanor" Elliott,0,04/18/15
Work It Missy "Misdemeanor" Elliott,0,04/25/15
Work It Missy "Misdemeanor" Elliott,0,05/02/15
Work It Missy "Misdemeanor" Elliott,0,05/09/15
Work It Missy "Misdemeanor" Elliott,0,05/16/15
Work It Missy "Misdemeanor" Elliott,0,05/23/15
Work It Missy "Misdemeanor" Elliott,0,05/30/15
Work It Missy "Misdemeanor" Elliott,0,06/06/15
Work It Missy "Misdemeanor" Elliott,0,06/13/15
Work It Missy "Misdemeanor" Elliott,0,06/20/15
Work It Missy "Misdemeanor" Elliott,0,06/27/15
Work It Missy "Misdemeanor" Elliott,0,07/04/15
Work It Missy "Misdemeanor" Elliott,0,07/11/15
Work It Missy "Misdemeanor" Elliott,0,07/18/15
Work It Missy "Misdemeanor" Elliott,0,07/25/15
Work It Missy "Misdemeanor" Elliott,0,08/01/15
Work It Missy "Misdemeanor" Elliott,0,08/08/15
Work It Missy "Misdemeanor" Elliott,0,08/15/15
Work It Missy "Misdemeanor" Elliott,0,08/22/15
Work It Missy "Misdemeanor" Elliott,0,08/29/15
Work It Missy "Misdemeanor" Elliott,0,09/05/15
Work It Missy "Misdemeanor" Elliott,0,09/12/15
Work It Missy "Misdemeanor" Elliott,0,09/19/15
Work It Missy "Misdemeanor" Elliott,0,09/26/15
Work It Missy "Misdemeanor" Elliott,0,10/03/15
Work It Missy "Misdemeanor" Elliott,0,10/10/15
Work It Missy "Misdemeanor" Elliott,0,10/17/15
Work It Missy "Misdemeanor" Elliott,0,10/24/15
Work It Missy "Misdemeanor" Elliott,0,10/31/15
Work It Missy "Misdemeanor" Elliott,0,11/07/15
Work It Missy "Misdemeanor" Elliott,0,11/14/15
Work It Missy "Misdemeanor" Elliott,0,11/21/15
Work It Missy "Misdemeanor" Elliott,0,11/28/15
Work It Missy "Misdemeanor" Elliott,0,12/05/15
Work It Missy "Misdemeanor" Elliott,0,12/12/15
Work It Missy "Misdemeanor" Elliott,0,12/19/15
Work It Missy "Misdemeanor" Elliott,0,12/26/15
Homegrown Zac Brown Band,0,01/03/15
Homegrown Zac Brown Band,0,01/10/15
Homegrown Zac Brown Band,0,01/17/15
Homegrown Zac Brown Band,0,01/24/15
Homegrown Zac Brown Band,53,01/31/15
Homegrown Zac Brown Band,20,02/07/15
Homegrown Zac Brown Band,28,02/14/15
Homegrown Zac Brown Band,29,02/21/15
Homegrown Zac Brown Band,32,02/28/15
Homegrown Zac Brown Band,35,03/07/15
Homegrown Zac Brown Band,43,03/14/15
Homegrown Zac Brown Band,55,03/21/15
Homegrown Zac Brown Band,59,03/28/15
Homegrown Zac Brown Band,60,04/04/15
Homegrown Zac Brown Band,65,04/11/15
Homegrown Zac Brown Band,65,04/18/15
Homegrown Zac Brown Band,66,04/25/15
Homegrown Zac Brown Band,60,05/02/15
Homegrown Zac Brown Band,55,05/09/15
Homegrown Zac Brown Band,61,05/16/15
Homegrown Zac Brown Band,44,05/23/15
Homegrown Zac Brown Band,42,05/30/15
Homegrown Zac Brown Band,34,06/06/15
Homegrown Zac Brown Band,34,06/13/15
Homegrown Zac Brown Band,0,06/20/15
Homegrown Zac Brown Band,0,06/27/15
Homegrown Zac Brown Band,0,07/04/15
Homegrown Zac Brown Band,0,07/11/15
Homegrown Zac Brown Band,0,07/18/15
Homegrown Zac Brown Band,0,07/25/15
Homegrown Zac Brown Band,0,08/01/15
Homegrown Zac Brown Band,0,08/08/15
Homegrown Zac Brown Band,0,08/15/15
Homegrown Zac Brown Band,0,08/22/15
Homegrown Zac Brown Band,0,08/29/15
Homegrown Zac Brown Band,0,09/05/15
Homegrown Zac Brown Band,0,09/12/15
Homegrown Zac Brown Band,0,09/19/15
Homegrown Zac Brown Band,0,09/26/15
Homegrown Zac Brown Band,0,10/03/15
Homegrown Zac Brown Band,0,10/10/15
Homegrown Zac Brown Band,0,10/17/15
Homegrown Zac Brown Band,0,10/24/15
Homegrown Zac Brown Band,0,10/31/15
Homegrown Zac Brown Band,0,11/07/15
Homegrown Zac Brown Band,0,11/14/15
Homegrown Zac Brown Band,0,11/21/15
Homegrown Zac Brown Band,0,11/28/15
Homegrown Zac Brown Band,0,12/05/15
Homegrown Zac Brown Band,0,12/12/15
Homegrown Zac Brown Band,0,12/19/15
Homegrown Zac Brown Band,0,12/26/15
Bad Blood Taylor Swift,0,01/03/15
Bad Blood Taylor Swift,23,01/10/15
Bad Blood Taylor Swift,0,01/17/15
Bad Blood Taylor Swift,0,01/24/15
Bad Blood Taylor Swift,0,01/31/15
Bad Blood Taylor Swift,0,02/07/15
Bad Blood Taylor Swift,0,02/14/15
Bad Blood Taylor Swift,0,02/21/15
Bad Blood Taylor Swift,0,02/28/15
Bad Blood Taylor Swift,0,03/07/15
Bad Blood Taylor Swift,0,03/14/15
